George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Ariel_Sharon                  | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | Mahmoud_Abbas                 | incorrect 
George_W_Bush                 | Scarlett_Johansson            | incorrect 
Ryan_Gosling                  | Roh_Moo-hyun                  | incorrect 
Ryan_Gosling                  | George_W_Bush                 | incorrect 
Ryan_Gosling                  | Mahmoud_Abbas                 | incorrect 
Ryan_Gosling                  | Will_Smith                    | incorrect 
Ryan_Gosling                  | * NOT IN DB *                 | incorrect 
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | Roh_Moo-hyun                  | incorrect 
Ryan_Gosling                  | Will_Smith                    | incorrect 
Ryan_Gosling                  | Salma_Hayek                   | incorrect 
Ryan_Gosling                  | Denzel_Washington             | incorrect 
Chris_Evans                   | Denzel_Washington             | incorrect 
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Morgan_Freeman                | incorrect 
Chris_Evans                   | Ryan_Gosling                  | incorrect 
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Chris_Hemsworth               | incorrect 
Chris_Evans                   | Eugenio_Derbez                | incorrect 
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Megawati_Sukarnoputri         | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Mahmoud_Abbas                 | incorrect 
Serena_Williams               | Jennifer_Aniston              | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Hans_Blix                     | incorrect 
Serena_Williams               | Guillermo_Coria               | incorrect 
Kofi_Annan                    | Morgan_Freeman                | incorrect 
Kofi_Annan                    | Alejandro_Toledo              | incorrect 
