George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Jennifer_Aniston              | incorrect 
George_W_Bush                 | * NOT IN DB *                 | incorrect 
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Roh_Moo-hyun                  | incorrect 
George_W_Bush                 | George_W_Bush                 | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | correct 
George_W_Bush                 | * NOT IN DB *                 | incorrect 
George_W_Bush                 | * NOT IN DB *                 | incorrect 
Ryan_Gosling                  | * NOT IN DB *                 | incorrect 
Ryan_Gosling                  | George_W_Bush                 | incorrect 
Ryan_Gosling                  | Mahmoud_Abbas                 | incorrect 
Ryan_Gosling                  | Ryan_Gosling                  | correct 
Ryan_Gosling                  | Daniel_Radcliffe              | incorrect 
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | Roh_Moo-hyun                  | incorrect 
Ryan_Gosling                  | Will_Smith                    | incorrect 
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | Uzmar_Gomez                   | incorrect 
Chris_Evans                   | Denzel_Washington             | incorrect 
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Ryan_Gosling                  | incorrect 
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Chris_Hemsworth               | incorrect 
Chris_Evans                   | Chris_Evans                   | correct   
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Chris_Hemsworth               | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Mahmoud_Abbas                 | incorrect 
Serena_Williams               | Roh_Moo-hyun                  | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Scarlett_Johansson            | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Guillermo_Coria               | incorrect 
Kofi_Annan                    | * NOT IN DB *                 | incorrect 
Kofi_Annan                    | Mahmoud_Abbas                 | incorrect 
Kofi_Annan                    | Mahmoud_Abbas                 | incorrect 
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | * NOT IN DB *                 | incorrect 
Kofi_Annan                    | Emma_Watson                   | incorrect 
Kofi_Annan                    | Will_Smith                    | incorrect 
Kofi_Annan                    | Kofi_Annan                    | correct 
Kofi_Annan                    | * NOT IN DB *                 | incorrect 
Kofi_Annan                    | Kofi_Annan                    | correct   
Kofi_Annan                    | * NOT IN DB *                 | incorrect 
Kofi_Annan                    | Guillermo_Coria               | incorrect 
Hans_Blix                     | * NOT IN DB *                 | incorrect 
Hans_Blix                     | Kofi_Annan                    | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | * NOT IN DB *                 | incorrect 
Hans_Blix                     | * NOT IN DB *                 | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | * NOT IN DB *                 | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Chris_Evans                   | incorrect 
Hans_Blix                     | Ariel_Sharon                  | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Hans_Blix                     | Uzmar_Gomez                   | incorrect 
Hans_Blix                     | Hans_Blix                     | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Denzel_Washington             | incorrect 
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | * NOT IN DB *                 | incorrect 
Salma_Hayek                   | Salma_Hayek                   | correct   
Salma_Hayek                   | Salma_Hayek                   | correct   
Chris_Hemsworth               | Chris_Hemsworth               | correct   
Chris_Hemsworth               | Serena_Williams               | incorrect 
Chris_Hemsworth               | Chris_Hemsworth               | correct   
Chris_Hemsworth               | * NOT IN DB *                 | incorrect 
Chris_Hemsworth               | Chris_Hemsworth               | correct   
Chris_Hemsworth               | Eugenio_Derbez                | incorrect 
Chris_Hemsworth               | Ryan_Gosling                  | incorrect 
Chris_Hemsworth               | Denzel_Washington             | incorrect 
Jennifer_Aniston              | Jennifer_Aniston              | correct   
Jennifer_Aniston              | Jennifer_Aniston              | correct   
