George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | George_W_Bush                 | correct   
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | * NOT IN DB *                 | incorrect 
George_W_Bush                 | * NOT IN DB *                 | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | * NOT IN DB *                 | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | Ricardo_Lagos                 | incorrect 
George_W_Bush                 | Eugenio_Derbez                | incorrect 
Ryan_Gosling                  | Denzel_Washington             | incorrect 
Ryan_Gosling                  | George_W_Bush                 | incorrect 
Ryan_Gosling                  | Mahmoud_Abbas                 | incorrect 
Ryan_Gosling                  | Ricardo_Lagos                 | incorrect 
Ryan_Gosling                  | Eugenio_Derbez                | incorrect 
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | * NOT IN DB *                 | incorrect 
Ryan_Gosling                  | Ryan_Gosling                  | correct   
Ryan_Gosling                  | Uzmar_Gomez                   | incorrect 
Chris_Evans                   | Ryan_Gosling                  | incorrect 
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Chris_Hemsworth               | incorrect 
Chris_Evans                   | Morgan_Freeman                | incorrect 
Chris_Evans                   | Ryan_Gosling                  | incorrect 
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Chris_Hemsworth               | incorrect 
Chris_Evans                   | Uzmar_Gomez                   | incorrect 
Chris_Evans                   | * NOT IN DB *                 | incorrect 
Chris_Evans                   | Eugenio_Derbez                | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Ryan_Gosling                  | incorrect 
Serena_Williams               | * NOT IN DB *                 | incorrect 
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Serena_Williams               | correct   
Serena_Williams               | Morgan_Freeman                | incorrect 
Serena_Williams               | Guillermo_Coria               | incorrect 
Kofi_Annan                    | Mahmoud_Abbas                 | incorrect 
